slice,value,n,family_audio,family_audio_key,family_key_recovery,family_best_w,seventh_audio,seventh_audio_key,seventh_key_recovery,seventh_best_w
overall,ALL,6380,0.866,0.874,0.008,0.35,0.752,0.779,0.027,0.75
scenario,balanced,1254,0.955,0.955,0.0,0.0,0.9,0.904,0.004,0.1
scenario,drums_loud,1074,0.842,0.844,0.002,0.1,0.745,0.748,0.003,0.35
scenario,full_band,1240,0.884,0.89,0.006,0.5,0.81,0.824,0.014,0.75
scenario,melody_masks,1145,0.859,0.877,0.017,0.35,0.734,0.778,0.044,0.75
scenario,sparse_quiet_comp,1667,0.805,0.84,0.035,1.0,0.614,0.705,0.091,1.0
snr,clean,1450,0.87,0.883,0.012,0.75,0.732,0.781,0.049,1.5
snr,snr15,1901,0.88,0.881,0.001,0.1,0.776,0.796,0.019,0.35
snr,snr4,989,0.892,0.898,0.006,0.35,0.812,0.824,0.012,0.5
snr,snr8,2040,0.837,0.861,0.024,0.75,0.715,0.752,0.037,0.75
groove,8Beat,104,0.846,0.846,0.0,0.0,0.702,0.702,0.0,0.0
groove,Ballad,1632,0.912,0.917,0.004,0.35,0.789,0.828,0.039,1.0
groove,BossaNova,428,0.778,0.829,0.051,1.5,0.579,0.647,0.068,1.5
groove,Swing,4216,0.857,0.865,0.008,0.35,0.756,0.781,0.024,0.5
